SOLAR,8219,JULIAN AUC,HISTORICAL
344th,Fri,972 Dec / 10,219 Dec / 10
345th,Sat,972 Dec / 11,219 Dec / 11
346th,Sun,972 Dec / 12,219 Dec / 12
347th,Mon,972 Dec / 13,219 Dec / 13
348th,Tue,972 Dec / 14,219 Dec / 14
349th,Wed,972 Dec / 15,219 Dec / 15
350th,Thu,972 Dec / 16,219 Dec / 16
351st,Fri,972 Dec / 17,219 Dec / 17
352nd,Sat,972 Dec / 18,219 Dec / 18
353rd,Sun,972 Dec / 19,219 Dec / 19
354th,Mon,972 Dec / 20,219 Dec / 20
355th,Tue,972 Dec / 21,219 Dec / 21
356th,Wed,972 Dec / 22,219 Dec / 22
357th,Thu,972 Dec / 23,219 Dec / 23
358th,Fri     New,972 Dec / 24,219 Dec / 24
359th,Sat,972 Dec / 25,219 Dec / 25
360th,Sun,972 Dec / 26,219 Dec / 26
361st,Mon,972 Dec / 27,219 Dec / 27
362nd,Tue,972 Dec / 28,219 Dec / 28
363rd,Wed,972 Dec / 29,219 Dec / 29
364th,Thu,972 Dec / 30,219 Dec / 30
365th,Fri,972 Dec / 31,219 Dec / 31
366th,XXXXX,,XXXXX
