SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
56th,Tue,3791 Adar / 16,342 Dystros / 16,Shevat / 16,Peret Phamenoth 14,784 Februarius / 27,31 Feb \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-319,,,,,
57th,Wed,3791 Adar / 17,342 Dystros / 17,Shevat / 17,Peret Phamenoth 15,784 Februarius / 28,31 Feb \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-320,,,,,
58th,Thu,3791 Adar / 18,342 Dystros / 18,Shevat / 18,Peret Phamenoth 16,784 Martius / 1,31 Mar \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-321,,,,,
59th,Fri,3791 Adar / 19,342 Dystros / 19,Shevat / 19,Peret Phamenoth 17,784 Martius / 2,31 Mar \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-322,,,,,
60th,Sat,3791 Adar / 20,342 Dystros / 20,Shevat / 20,Peret Phamenoth 18,784 Martius / 3,31 Mar \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-323,,,,,
61st,Sun,3791 Adar / 21,342 Dystros / 21,Shevat / 21,Peret Phamenoth 19,784 Martius / 4,31 Mar \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-324,,,,,
62nd,Mon,3791 Adar / 22,342 Dystros / 22,Shevat / 22,Peret Phamenoth 20,784 Martius / 5,31 Mar \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-325,,,,,
63rd,Tue,3791 Adar / 23,342 Dystros / 23,Shevat / 23,Peret Phamenoth 21,784 Martius / 6,31 Mar \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-326,,,,,
64th,Wed,3791 Adar / 24,342 Dystros / 24,Shevat / 24,Peret Phamenoth 22,784 Martius / 7,31 Mar \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-327,,,,,
65th,Thu,3791 Adar / 25,342 Dystros / 25,Shevat / 25,Peret Phamenoth 23,784 Martius / 8,31 Mar \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-328,,,,,
66th,Fri,3791 Adar / 26,342 Dystros / 26,Shevat / 26,Peret Phamenoth 24,784 Martius / 9,31 Mar \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-329,,,,,
67th,Sat,3791 Adar / 27,342 Dystros / 27,Shevat / 27,Peret Phamenoth 25,784 Martius / 10,31 Mar \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-330,,,,,
68th,Sun     New,3791 Adar / 28,342 Dystros / 28,Shevat / 28,Peret Phamenoth 26,784 Martius / 11,31 Mar \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-331,,,,,
69th,Mon,3791 Adar / 29,342 Dystros / 29,Shevat / 29,Peret Phamenoth 27,784 Martius / 12,31 Mar \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-332,,,,,
70th,Tue,3791 Nissan / 1,342 Dystros / 30,Shevat / 30,Peret Phamenoth 28,784 Martius / 13,31 Mar \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-333,,,,,
,,|-----Herod Antipas tetrarch of Galilee & Perea 31 years,,,,,
,,|-----Herod Philip II tetrarch of Iturea & Trachonitis 31 years,,,,,
,,|-----Caiaphas High Priest of Israel 13 years,,,,,
71st,Wed,3791 Nissan / 2,342 Xanthikos / 1,Adar / 1,Peret Phamenoth 29,784 Martius / 14,31 Mar \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-334,,,,,
72nd,Thu,3791 Nissan / 3,342 Xanthikos / 2,Adar / 2,Peret Phamenoth 30,784 Martius / 15,31 Mar \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-335,,,,,
73rd,Fri,3791 Nissan / 4,342 Xanthikos / 3,Adar / 3,Peret Pharmouthi 1,784 Martius / 16,31 Mar \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-336,,,,,
74th,Sat,3791 Nissan / 5,342 Xanthikos / 4,Adar / 4,Peret Pharmouthi 2,784 Martius / 17,31 Mar \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-337,,,,,
75th,Sun,3791 Nissan / 6,342 Xanthikos / 5,Adar / 5,Peret Pharmouthi 3,784 Martius / 18,31 Mar \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-338,,,,,
76th,Mon,3791 Nissan / 7,342 Xanthikos / 6,Adar / 6,Peret Pharmouthi 4,784 Martius / 19,31 Mar \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-339,,,,,
77th,Tue,3791 Nissan / 8,342 Xanthikos / 7,Adar / 7,Peret Pharmouthi 5,784 Martius / 20,31 Mar \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-340,,,,,
78th,Wed,3791 Nissan / 9,342 Xanthikos / 8,Adar / 8,Peret Pharmouthi 6,784 Martius / 21,31 Mar \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-341,,,,,
79th,Thu,3791 Nissan / 10,342 Xanthikos / 9,Adar / 9,Peret Pharmouthi 7,784 Martius / 22,31 Mar \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-342,,,,,
80th EQ,Fri,3791 Nissan / 11,342 Xanthikos / 10,Adar / 10,Peret Pharmouthi 8,784 Martius / 23,31 Mar \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-343,,,,,
81st,Sat,3791 Nissan / 12,342 Xanthikos / 11,Adar / 11,Peret Pharmouthi 9,784 Martius / 24,31 Mar \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-344,,,,,
82nd,Sun,3791 Nissan / 13,342 Xanthikos / 12,Adar / 12,Peret Pharmouthi 10,784 Martius / 25,31 Mar \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-345,,,,,
83rd,Mon,3791 Nissan / 14,342 Xanthikos / 13,Adar / 13,Peret Pharmouthi 11,784 Martius / 26,31 Mar \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-346,,,,,
84th,Tue     Full,3791 Nissan / 15,342 Xanthikos / 14,Adar / 14,Peret Pharmouthi 12,784 Martius / 27,31 Mar \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-347,,,,,
85th,Wed,3791 Nissan / 16,342 Xanthikos / 15,Adar / 15,Peret Pharmouthi 13,784 Martius / 28,31 Mar \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-348,,,,,
86th,Thu,3791 Nissan / 17,342 Xanthikos / 16,Adar / 16,Peret Pharmouthi 14,784 Martius / 29,31 Mar \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-349,,,,,
87th,Fri,3791 Nissan / 18,342 Xanthikos / 17,Adar / 17,Peret Pharmouthi 15,784 Martius / 30,31 Mar \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-350,,,,,
88th,Sat,3791 Nissan / 19,342 Xanthikos / 18,Adar / 18,Peret Pharmouthi 16,784 Martius / 31,31 Mar \ 31
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-351,,,,,
89th,Sun,3791 Nissan / 20,342 Xanthikos / 19,Adar / 19,Peret Pharmouthi 17,784 Aprilis / 1,31 Apr \ 1
