SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
71st,Sat,3760 L Adar II / 19,311 Xanthikos / 17,Teiri / 28,PERET Phamenoth / 16,753 Martius \ 12,1 BC L Mar \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-171,,,,,
72nd,Sun,3760 L Adar II / 20,311 Xanthikos / 18,Teiri / 29,PERET Phamenoth / 17,753 Martius \ 13,1 BC L Mar \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-172,,,,,
73rd,Mon,3760 L Adar II / 21,311 Xanthikos / 19,Teiri / 30,PERET Phamenoth / 18,753 Martius \ 14,1 BC L Mar \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-173,,,,,
74th,Tue,3760 L Adar II / 22,311 Xanthikos / 20,Amartata / 1,PERET Phamenoth / 19,753 Martius \ 15,1 BC L Mar \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-174,,,,,
75th,Wed,3760 L Adar II / 23,311 Xanthikos / 21,Amartata / 2,PERET Phamenoth / 20,753 Martius \ 16,1 BC L Mar \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-175,,,,,
76th,Thu,3760 L Adar II / 24,311 Xanthikos / 22,Amartata / 3,PERET Phamenoth / 21,753 Martius \ 17,1 BC L Mar \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-176,,,,,
77th,Fri,3760 L Adar II / 25,311 Xanthikos / 23,Amartata / 4,PERET Phamenoth / 22,753 Martius \ 18,1 BC L Mar \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-177,,,,,
78th,Sat,3760 L Adar II / 26,311 Xanthikos / 24,Amartata / 5,PERET Phamenoth / 23,753 Martius \ 19,1 BC L Mar \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-178,,,,,
79th,Sun,3760 L Adar II / 27,311 Xanthikos / 25,Amartata / 6,PERET Phamenoth / 24,753 Martius \ 20,1 BC L Mar \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-179,,,,,
80th Equinox,Mon,3760 L Adar II / 28,311 Xanthikos / 26,Amartata / 7,PERET Phamenoth / 25,753 Martius \ 21,1 BC L Mar \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-180,,,,,
