SOLAR,7397,Exile,HISTORICAL
267th,Sun,Exile year 3 day 81,604 Oct / 1
268th,Mon,Exile year 3 day 82,604 Oct / 2
269th,Tue,Exile year 3 day 83,604 Oct / 3
270th,Wed,Exile year 3 day 84,604 Oct / 4
271st,Thu,Exile year 3 day 85,604 Oct / 5
272nd,Fri,Exile year 3 day 86,604 Oct / 6
273rd,Sat,Exile year 3 day 87,604 Oct / 7
274th,Sun     Full,Exile year 3 day 88,604 Oct / 8
275th,Mon,Exile year 3 day 89,604 Oct / 9
276th,Tue,Exile year 3 day 90,604 Oct / 10
277th,Wed,Exile year 3 day 91,604 Oct / 11
278th,Thu,Exile year 3 day 92,604 Oct / 12
279th,Fri,Exile year 3 day 93,604 Oct / 13
280th,Sat,Exile year 3 day 94,604 Oct / 14
281st,Sun,Exile year 3 day 95,604 Oct / 15
282nd,Mon,Exile year 3 day 96,604 Oct / 16
283rd,Tue,Exile year 3 day 97,604 Oct / 17
284th,Wed,Exile year 3 day 98,604 Oct / 18
285th,Thu,Exile year 3 day 99,604 Oct / 19
286th,Fri,Exile year 3 day 100,604 Oct / 20
287th,Sat,Exile year 3 day 101,604 Oct / 21
288th,Sun,Exile year 3 day 102,604 Oct / 22
289th,Mon     New,Exile year 3 day 103,604 Oct / 23
290th,Tue,Exile year 3 day 104,604 Oct / 24
291st,Wed,Exile year 3 day 105,604 Oct / 25
292nd,Thu,Exile year 3 day 106,604 Oct / 26
293rd,Fri,Exile year 3 day 107,604 Oct / 27
294th,Sat,Exile year 3 day 108,604 Oct / 28
295th,Sun,Exile year 3 day 109,604 Oct / 29
296th,Mon,Exile year 3 day 110,604 Oct / 30
297th,Tue,Exile year 3 day 111,604 Oct / 31
298th,Wed,Exile year 3 day 112,604 Nov / 1
299th,Thu,Exile year 3 day 113,604 Nov / 2
300th,Fri,Exile year 3 day 114,604 Nov / 3
301st,Sat,Exile year 3 day 115,604 Nov / 4
302nd,Sun,Exile year 3 day 116,604 Nov / 5
303rd,Mon,Exile year 3 day 117,604 Nov / 6
304th,Tue     Full,Exile year 3 day 118,604 Nov / 7
305th,Wed,Exile year 3 day 119,604 Nov / 8
306th,Thu,Exile year 3 day 120,604 Nov / 9
307th,Fri,Exile year 3 day 121,604 Nov / 10
308th,Sat,Exile year 3 day 122,604 Nov / 11
309th,Sun,Exile year 3 day 123,604 Nov / 12
310th,Mon,Exile year 3 day 124,604 Nov / 13
311th,Tue,Exile year 3 day 125,604 Nov / 14
312th,Wed,Exile year 3 day 126,604 Nov / 15
313th,Thu,Exile year 3 day 127,604 Nov / 16
314th,Fri,Exile year 3 day 128,604 Nov / 17
315th,Sat,Exile year 3 day 129,604 Nov / 18
316th,Sun,Exile year 3 day 130,604 Nov / 19
317th,Mon,Exile year 3 day 131,604 Nov / 20
318th,Tue,Exile year 3 day 132,604 Nov / 21
319th,Wed     New,Exile year 3 day 133,604 Nov / 22
320th,Thu,Exile year 3 day 134,604 Nov / 23
321st,Fri,Exile year 3 day 135,604 Nov / 24
322nd,Sat,Exile year 3 day 136,604 Nov / 25
323rd,Sun,Exile year 3 day 137,604 Nov / 26
324th,Mon,Exile year 3 day 138,604 Nov / 27
325th,Tue,Exile year 3 day 139,604 Nov / 28
326th,Wed,Exile year 3 day 140,604 Nov / 29
327th,Thu,Exile year 3 day 141,604 Nov / 30
328th,Fri,Exile year 3 day 142,604 Dec / 1
329th,Sat,Exile year 3 day 143,604 Dec / 2
330th,Sun,Exile year 3 day 144,604 Dec / 3
331st,Mon,Exile year 3 day 145,604 Dec / 4
332nd,Tue,Exile year 3 day 146,604 Dec / 5
333rd,Wed     Full,Exile year 3 day 147,604 Dec / 6
334th,Thu,Exile year 3 day 148,604 Dec / 7
335th,Fri,Exile year 3 day 149,604 Dec / 8
336th,Sat,Exile year 3 day 150,604 Dec / 9
337th,Sun,Exile year 3 day 151,604 Dec / 10
338th,Mon,Exile year 3 day 152,604 Dec / 11
339th,Tue,Exile year 3 day 153,604 Dec / 12
340th,Wed,Exile year 3 day 154,604 Dec / 13
341st,Thu,Exile year 3 day 155,604 Dec / 14
342nd,Fri,Exile year 3 day 156,604 Dec / 15
343rd,Sat,Exile year 3 day 157,604 Dec / 16
344th,Sun,Exile year 3 day 158,604 Dec / 17
345th,Mon,Exile year 3 day 159,604 Dec / 18
346th,Tue,Exile year 3 day 160,604 Dec / 19
347th,Wed,Exile year 3 day 161,604 Dec / 20
348th,Thu     New,Exile year 3 day 162,604 Dec / 21
349th,Fri,Exile year 3 day 163,604 Dec / 22
350th,Sat,Exile year 3 day 164,604 Dec / 23
351st,Sun,Exile year 3 day 165,604 Dec / 24
352nd,Mon,Exile year 3 day 166,604 Dec / 25
353rd,Tue,Exile year 3 day 167,604 Dec / 26
354th,Wed,Exile year 3 day 168,604 Dec / 27
355th,Thu,Exile year 3 day 169,604 Dec / 28
356th SO,Fri,Exile year 3 day 170,604 Dec / 29
357th,Sat,Exile year 3 day 171,604 Dec / 30
358th,Sun,Exile year 3 day 172,604 Dec / 31
359th,Mon,Exile year 3 day 173,603 Jan / 1
360th,Tue,Exile year 3 day 174,603 Jan / 2
361st,Wed,Exile year 3 day 175,603 Jan / 3
362nd,Thu,Exile year 3 day 176,603 Jan / 4
363rd,Fri     Full,Exile year 3 day 177,603 Jan / 5
364th,Sat,Exile year 3 day 178,603 Jan / 6
365th,Sun,Exile year 3 day 179,603 Jan / 7
366th,XXXXX,,
