SOLAR,7396 L,Exile,HISTORICAL
113th X,Fri,Exile year 1 day 281,605 L Apr \ 29
114th X,Sat,Exile year 1 day 282,605 L Apr \ 30
115th X,Sun,Exile year 1 day 283,605 L May \ 1
116th,Mon,Exile year 1 day 284,605 L May \ 2
117th,Tue,Exile year 1 day 285,605 L May \ 3
118th,Wed,Exile year 1 day 286,605 L May \ 4
119th,Thu,Exile year 1 day 287,605 L May \ 5
120th,Fri,Exile year 1 day 288,605 L May \ 6
121st,Sat,Exile year 1 day 289,605 L May \ 7
122nd,Sun,Exile year 1 day 290,605 L May \ 8
123rd,Mon     New,Exile year 1 day 291,605 L May \ 9
124th,Tue,Exile year 1 day 292,605 L May \ 10
125th,Wed,Exile year 1 day 293,605 L May \ 11
126th,Thu,Exile year 1 day 294,605 L May \ 12
127th,Fri,Exile year 1 day 295,605 L May \ 13
128th,Sat,Exile year 1 day 296,605 L May \ 14
129th,Sun,Exile year 1 day 297,605 L May \ 15
130th,Mon,Exile year 1 day 298,605 L May \ 16
131st,Tue,Exile year 1 day 299,605 L May \ 17
132nd,Wed,Exile year 1 day 300,605 L May \ 18
133rd,Thu,Exile year 1 day 301,605 L May \ 19
134th,Fri,Exile year 1 day 302,605 L May \ 20
135th,Sat,Exile year 1 day 303,605 L May \ 21
136th,Sun,Exile year 1 day 304,605 L May \ 22
137th,Mon,Exile year 1 day 305,605 L May \ 23
138th,Tue,Exile year 1 day 306,605 L May \ 24
139th,Wed     Full,Exile year 1 day 307,605 L May \ 25
140th,Thu,Exile year 1 day 308,605 L May \ 26
141st,Fri,Exile year 1 day 309,605 L May \ 27
142nd,Sat,Exile year 1 day 310,605 L May \ 28
143rd,Sun,Exile year 1 day 311,605 L May \ 29
144th,Mon,Exile year 1 day 312,605 L May \ 30
145th,Tue,Exile year 1 day 313,605 L May \ 31
146th,Wed,Exile year 1 day 314,605 L Jun / 1
147th,Thu,Exile year 1 day 315,605 L Jun / 2
148th,Fri,Exile year 1 day 316,605 L Jun / 3
149th,Sat,Exile year 1 day 317,605 L Jun / 4
150th,Sun,Exile year 1 day 318,605 L Jun / 5
151st,Mon,Exile year 1 day 319,605 L Jun / 6
152nd,Tue,Exile year 1 day 320,605 L Jun / 7
153rd,Wed     New,Exile year 1 day 321,605 L Jun / 8
154th,Thu,Exile year 1 day 322,605 L Jun / 9
155th,Fri,Exile year 1 day 323,605 L Jun / 10
156th,Sat,Exile year 1 day 324,605 L Jun / 11
157th,Sun,Exile year 1 day 325,605 L Jun / 12
158th,Mon,Exile year 1 day 326,605 L Jun / 13
159th,Tue,Exile year 1 day 327,605 L Jun / 14
