SOLAR,9948 L,HEBREW,ISLAMIC,GREGORIAN 1948
107th,Fri,5708 L Nisan / 7,1367 Jumada t-Tania / 6,April / 16
,,|Ezekiel's 2520 years (year 2520 day 332,,
108th,Sat,5708 L Nisan / 8,1367 Jumada t-Tania / 7,April / 17
,,|Ezekiel's 2520 years (year 2520 day 333,,
109th,Sun,5708 L Nisan / 9,1367 Jumada t-Tania / 8,April / 18
,,|Ezekiel's 2520 years (year 2520 day 334,,
110th,Mon,5708 L Nisan / 10,1367 Jumada t-Tania / 9,April / 19
,,|Ezekiel's 2520 years (year 2520 day 335,,
111th,Tue,5708 L Nisan / 11,1367 Jumada t-Tania / 10,April / 20
,,|Ezekiel's 2520 years (year 2520 day 336,,
112th,Wed,5708 L Nisan / 12,1367 Jumada t-Tania / 11,April / 21
,,|Ezekiel's 2520 years (year 2520 day 337,,
113th,Thu,5708 L Nisan / 13,1367 Jumada t-Tania / 12,April / 22
,,|Ezekiel's 2520 years (year 2520 day 338,,
114th,Fri     Full,5708 L Nisan / 14,1367 Jumada t-Tania / 13,April / 23
,,|Ezekiel's 2520 years (year 2520 day 339,,
115th,Sat,5708 L Nisan / 15,1367 Jumada t-Tania / 14,April / 24
,,|Ezekiel's 2520 years (year 2520 day 340,,
116th,Sun,5708 L Nisan / 16,1367 Jumada t-Tania / 15,April / 25
,,|Ezekiel's 2520 years (year 2520 day 341,,
117th,Mon,5708 L Nisan / 17,1367 Jumada t-Tania / 16,April / 26
,,|Ezekiel's 2520 years (year 2520 day 342,,
118th,Tue,5708 L Nisan / 18,1367 Jumada t-Tania / 17,April / 27
,,|Ezekiel's 2520 years (year 2520 day 343,,
119th,Wed,5708 L Nisan / 19,1367 Jumada t-Tania / 18,April / 28
,,|Ezekiel's 2520 years (year 2520 day 344,,
120th,Thu,5708 L Nisan / 20,1367 Jumada t-Tania / 19,April / 29
,,|Ezekiel's 2520 years (year 2520 day 345,,
121st,Fri,5708 L Nisan / 21,1367 Jumada t-Tania / 20,April / 30
,,|Ezekiel's 2520 years (year 2520 day 346,,
122nd,Sat,5708 L Nisan / 22,1367 Jumada t-Tania / 21,May / 1
,,|Ezekiel's 2520 years (year 2520 day 347,,
123rd,Sun,5708 L Nisan / 23,1367 Jumada t-Tania / 22,May / 2
,,|Ezekiel's 2520 years (year 2520 day 348,,
124th,Mon,5708 L Nisan / 24,1367 Jumada t-Tania / 23,May / 3
,,|Ezekiel's 2520 years (year 2520 day 349,,
125th,Tue,5708 L Nisan / 25,1367 Jumada t-Tania / 24,May / 4
,,|Ezekiel's 2520 years (year 2520 day 350,,
126th,Wed,5708 L Nisan / 26,1367 Jumada t-Tania / 25,May / 5
,,|Ezekiel's 2520 years (year 2520 day 351,,
127th,Thu,5708 L Nisan / 27,1367 Jumada t-Tania / 26,May / 6
,,|Ezekiel's 2520 years (year 2520 day 352,,
128th,Fri,5708 L Nisan / 28,1367 Jumada t-Tania / 27,May / 7
,,|Ezekiel's 2520 years (year 2520 day 353,,
129th,Sat,5708 L Nisan / 29,1367 Jumada t-Tania / 28,May / 8
,,|Ezekiel's 2520 years (year 2520 day 354,,
130th,Sun     New,5708 L Nisan / 30,1367 Jumada t-Tania / 29,May / 9
,,|Ezekiel's 2520 years (year 2520 day 355,,
131st,Mon,5708 L Iyyar / 1,1367 Rajab / 1,May / 10
,,|Ezekiel's 2520 years (year 2520 day 356,,
132nd,Tue,5708 L Iyyar / 2,1367 Rajab / 2,May / 11
,,|Ezekiel's 2520 years (year 2520 day 357,,
133rd,Wed,5708 L Iyyar / 3,1367 Rajab / 3,May / 12
,,|Ezekiel's 2520 years (year 2520 day 358,,
134th,Thu,5708 L Iyyar / 4,1367 Rajab / 4,May / 13
,,|Ezekiel's 2520 years (year 2520 day 359,,
135th,Fri,5708 L Iyyar / 5,1367 Rajab / 5,May / 14
,,|Ezekiel's 2520 years (year 2520 day 360,,
,,[Israeli Declaration of Independence,,
,,|Davi Ben-Gurion made 1st Prime minister,,
136th,Sat,5708 L Iyyar / 6,1367 Rajab / 6,May / 15
,,[Arab-Israeli War starts,,
,,[Egypt attacked Nirim and Kfar Darom,,
137th,Sun,5708 L Iyyar / 7,1367 Rajab / 7,May / 16
138th,Mon,5708 L Iyyar / 8,1367 Rajab / 8,May / 17
139th,Tue,5708 L Iyyar / 9,1367 Rajab / 9,May / 18
140th,Wed,5708 L Iyyar / 10,1367 Rajab / 10,May / 19
,,[Egypt attacked Yad Mordechai day 1,,
141st,Thu,5708 L Iyyar / 11,1367 Rajab / 11,May / 20
,,[Egyption attack of Yad Mordechai day 2,,
142nd,Fri,5708 L Iyyar / 12,1367 Rajab / 12,May / 21
,,[Egyption attack of Yad Mordechai day 3,,
143rd,Sat,5708 L Iyyar / 13,1367 Rajab / 13,May / 22
,,[Egyption attack of Yad Mordechai day 4,,
144th,Sun     Full,5708 L Iyyar / 14,1367 Rajab / 14,May / 23
,,[Egyption attack of Yad Mordechai day 5,,
145th,Mon,5708 L Iyyar / 15,1367 Rajab / 15,May / 24
146th,Tue,5708 L Iyyar / 16,1367 Rajab / 16,May / 25
147th,Wed,5708 L Iyyar / 17,1367 Rajab / 17,May / 26
,,[Israeli Defense Forces established,,
148th,Thu,5708 L Iyyar / 18,1367 Rajab / 18,May / 27
149th,Fri,5708 L Iyyar / 19,1367 Rajab / 19,May / 28
150th,Sat,5708 L Iyyar / 20,1367 Rajab / 20,May / 29
